date,SMA
2013-01-30,35.632
2013-01-31,35.7105
2013-02-01,35.828
2013-02-04,35.9725
2013-02-05,36.1095
2013-02-06,36.281
2013-02-07,36.407
2013-02-08,36.5195
2013-02-11,36.6195
2013-02-12,36.686
2013-02-13,36.7195
2013-02-14,36.771
2013-02-15,36.829
2013-02-19,36.8725
2013-02-20,36.982
2013-02-21,37.031
2013-02-22,37.081
2013-02-25,37.0695
2013-02-26,37.0795
2013-02-27,37.0505
2013-02-28,37.05
2013-03-01,37.106
2013-03-04,37.159
2013-03-05,37.1705
2013-03-06,37.1975
2013-03-07,37.215
2013-03-08,37.261
2013-03-11,37.332
2013-03-12,37.398
2013-03-13,37.4855
2013-03-14,37.6
2013-03-15,37.6965
2013-03-18,37.7255
2013-03-19,37.734
2013-03-20,37.7565
2013-03-21,37.742
2013-03-22,37.7675
2013-03-25,37.865
2013-03-26,38.021
2013-03-27,38.192
2013-03-28,38.385
2013-04-01,38.5505
2013-04-02,38.674
2013-04-03,38.827
2013-04-04,39.02
2013-04-05,39.211
2013-04-08,39.4325
2013-04-09,39.6765
2013-04-10,39.999
2013-04-11,40.3005
2013-04-12,40.577
2013-04-15,40.724
2013-04-16,40.9385
2013-04-17,41.1325
2013-04-18,41.2955
2013-04-19,41.4905
2013-04-22,41.752
2013-04-23,42.043
2013-04-24,42.2485
2013-04-25,42.453
2013-04-26,42.706
2013-04-29,42.9115
2013-04-30,43.1785
2013-05-01,43.4275
2013-05-02,43.547
2013-05-03,43.7155
2013-05-06,43.8565
2013-05-07,43.9745
2013-05-08,43.968
2013-05-09,44.02
2013-05-10,44.116
2013-05-13,44.271
2013-05-14,44.416
2013-05-15,44.6055
2013-05-16,44.8
2013-05-17,45.039
2013-05-20,45.142
2013-05-21,45.212
2013-05-22,45.334
2013-05-23,45.4515
2013-05-24,45.4315
2013-05-28,45.4395
2013-05-29,45.331
2013-05-30,45.281
2013-05-31,45.216
2013-06-03,45.15
2013-06-04,45.102
2013-06-05,45.0085
2013-06-06,45.009
2013-06-07,44.997
2013-06-10,44.9425
2013-06-11,44.895
2013-06-12,44.766
2013-06-13,44.622
2013-06-14,44.472
2013-06-17,44.264
2013-06-18,44.128
2013-06-19,43.953
2013-06-20,43.668
2013-06-21,43.4695
2013-06-24,43.292
2013-06-25,43.154
2013-06-26,43.129
2013-06-27,43.058
2013-06-28,42.9905
2013-07-01,42.903
2013-07-02,42.832
2013-07-03,42.7915
2013-07-05,42.7525
2013-07-08,42.7365
2013-07-09,42.7065
2013-07-10,42.7225
2013-07-11,42.773
2013-07-12,42.868
2013-07-15,42.9385
2013-07-16,42.9785
2013-07-17,42.9995
2013-07-18,43.0635
2013-07-19,43.2365
2013-07-22,43.354
